dataset,tau,model,metric,mean,std
557_analcatdata_apnea1,.9,SQR,coverage,0.3,0.035851339717739794
557_analcatdata_apnea1,.9,LightGBM,coverage,0.26631578947368423,0.06006460049552466
557_analcatdata_apnea1,.9,DecisionTree,coverage,0.20947368421052634,0.041361858325028436
557_analcatdata_apnea1,.9,LinearQuantile,coverage,0.4242105263157894,0.05857022207681497
557_analcatdata_apnea1,.9,SQR,losses,0.010307181455231122,0.0034884090989930525
557_analcatdata_apnea1,.9,LightGBM,losses,0.02702170288130884,0.005472668126042049
557_analcatdata_apnea1,.9,DecisionTree,losses,0.006823359952268472,0.0019774898947565846
557_analcatdata_apnea1,.9,LinearQuantile,losses,0.031415648703353505,0.006396503247249646
560_bodyfat,.9,SQR,coverage,0.4033725490196079,0.11869146870912459
560_bodyfat,.9,LightGBM,coverage,0.41152941176470587,0.054494058947669496
560_bodyfat,.9,DecisionTree,coverage,0.407921568627451,0.0489875346053749
